comuna,nombre_comuna,perimetro,area,barrios,poblacion
2,2,21452.8386478,6317264.56099,['RECOLETA'],158368
5,5,12323.4324792,6660603.11937,"['ALMAGRO', 'BOEDO']",193859
6,6,10990.9644715,6851028.91356999,['CABALLITO'],203784
7,7,17972.2578696,12422900.8308,"['FLORES', 'PARQUE CHACABUCO']",216832
9,9,21411.738344,16505305.7861,"['LINIERS', 'MATADEROS', 'PARQUE AVELLANEDA']",169538
10,10,18332.0374567,12656556.9377999,"['FLORESTA', 'MONTE CASTRO', 'VELEZ SARSFIELD', 'VERSALLES', 'VILLA LURO', 'VILLA REAL']",171797
11,11,19987.696155,14120042.4238,"['VILLA DEL PARQUE', 'VILLA  DEVOTO', 'VILLA GRAL. MITRE', 'VILLA SANTA RITA']",203491
12,12,17232.189372,15570926.6375999,"['COGHLAN', 'SAAVEDRA', 'VILLA PUEYRREDON', 'VILLA URQUIZA']",236294
14,14,22126.5318584,15845871.2875999,['PALERMO'],249016
3,3,10486.2608092,6385991.39577999,"['BALVANERA', 'SAN CRISTOBAL']",195462
15,15,17832.5855796,14322896.6041,"['AGRONOMIA', 'CHACARITA', ' PARQUE CHAS', ' PATERNAL', 'VILLA CRESPO', 'VILLA ORTUZAR']",197903
8,8,20935.0125125,22216901.8454999,"['VILLA LUGANO', 'VILLA RIACHUELO', 'VILLA SOLDATI']",204842
4,4,35423.2827986,21684644.6266,"['BARRACAS', 'BOCA', 'NUEVA POMPEYA', 'PARQUE PATRICIOS']",230945
1,1,36102.2015728,17794568.879,"['CONSTITUCION', 'MONTSERRAT', 'PUERTO MADERO', 'RETIRO', 'SAN NICOLAS', 'SAN TELMO']",223282
13,13,26198.8269533,14713213.1820999,"['BELGRANO', 'COLEGIALES', 'NUÃ‘EZ']",265199
